"","ein","tax_pd","equity_ratio"
"649",161199332,201906,-1.88359188972422
"650",161199332,201806,-1.69053489217349
"651",161265765,201809,0.770160936223167
"652",161271229,201812,0.787086024556192
"653",161277244,201812,-0.138209956256421
"654",161289461,201809,0.628923128261482
"655",161301678,201903,-0.734764217754103
"656",161321037,201803,0.40394564607617
"657",161328750,201809,0.732265506844301
"658",161329890,201906,1
"659",161330593,201812,0.585720823412552
"660",161337423,201806,0.831666951952705
"661",161337423,201906,0.83465991875281
"662",161370403,201906,0.991976689734117
"663",161375112,201906,0.899327288054429
"664",161375112,201806,0.908970348302074
"665",161375637,201812,-0.00291519558540292
"666",161387187,201906,0.064791419084682
"667",161399793,201812,0.831695906422802
"668",161408996,201812,0.768494317098691
"669",161429861,201812,0.623088944175076
"670",161450203,201812,-0.759678571102307
"671",161452557,201903,0.294534486333497
"672",161453947,201812,-0.401355587596528
"673",161481094,201805,-0.103261930352816
"674",161481094,201905,0.815201563840185
"675",161481094,201705,-0.0873515006420722
"676",161509425,201812,0.985991342993172
"677",161559032,201806,0.859647979605735
"678",161561999,201812,0.709414905058196
"679",161568466,201812,1
"680",161572206,201812,0.891576399659779
"681",161585356,201812,0.422895294927859
"682",161605654,201812,-0.321203834349135
"683",161607165,201903,0.0195340206365487
"684",161617489,201812,0.974910094903589
"685",161637410,201812,1
"686",161660243,201903,0.78366665886792
"687",161671788,201906,0.887790616564329
"688",161744136,201809,1
"689",161765276,201812,0.504843171006181
"690",166063879,201902,0.759546974745274
"691",166063879,201802,0.725428545645615
"692",166066346,201903,0.620633025431732
"693",166066837,201812,0.86319422993946
"694",166095039,201901,0.623451102537811
"695",166101149,201906,0.286794202596304
"696",200001916,201812,0.910761797799501
"697",200062075,201806,0.531222254871854
"698",200070040,201812,0.98905986887919
"699",200125143,201812,0.27950300246285
"700",200146547,201806,0.642171485975484
"701",200164382,201812,-0.119795808697963
"702",200177581,201806,0.974305885399661
"703",200203845,201812,0.121805670533542
"704",200246423,201812,0.850029406469423
"705",200310400,201806,0.655490721237282
"706",200318338,201812,-1.64791226755671
"707",200330858,201812,0.880229245972075
"708",200428240,201812,-0.280019566324479
"709",200436490,201809,0.801567930465692
"710",200446324,201812,0.0379100300489152
"711",200458814,201812,0.838255106351399
"712",200468802,201812,1
"713",200470082,201812,0.799333333333333
"714",200503404,201812,-0.764319920984791
"715",200530683,201812,0.520341302961319
"716",200553370,201812,0.274448002513593
"717",200573561,201812,0.864835983423863
"718",200688727,201812,0.0126611834168713
"719",200696964,201806,0.13372140056883
"720",200701353,201806,0.165638889253078
"721",200726638,201806,1
"722",200951085,201809,0.994025825543611
"723",200956663,201812,-0.170682289291132
"724",201044089,201806,0.501052229826077
"725",201110283,201806,-0.253842759870735
"726",201150352,201712,-0.0658320705525379
"727",201150352,201812,-0.151609016634867
"728",201249814,201812,0.641567066709382
"729",201309418,201809,0.895758018172193
"730",201309418,201609,0.992656394711345
"731",201324945,201712,0.687906232378441
"732",201413891,201812,0.637328127537487
"733",201484525,201903,0.878359350166844
"734",201545635,201812,0.465937493324219
"735",201583332,201812,0.74411933423756
"736",201592192,201812,0.594679222283427
"737",201594213,201806,-0.0426309065667852
"738",201683627,201806,0.759300523869254
"739",201688621,201806,0.91745194202873
"740",201700622,201812,0.663088659811042
"741",201788094,201812,0.996194639974385
"742",201793571,201812,0.92241651835165
"743",201794339,201812,0.211692751331364
"744",201848987,201812,0.967332779243306
"745",201880465,201906,0.178747972397108
"746",201891448,201812,0.237174485828302
"747",201935580,201806,0.960013460471835
"748",201952464,201906,0.716626682765749
"749",201989307,201906,0.97753865842436
"750",202007127,201812,-0.260063414206252
"751",202010603,201812,0.808646605705823
"752",202053859,201812,0.990402350485639
"753",202074645,201809,-0.383156751316877
"754",202188815,201903,0.641913982478752
"755",202207776,201812,0.978490229269603
"756",202231228,201806,0.643067646912811
"757",202232456,201812,-0.723340615188978
"758",202328346,201806,0.293817302087488
"759",202445113,201412,0.158950661829935
"760",202445113,201812,0.0349322951784816
"761",202504202,201812,0.775109908691241
"762",202526058,201806,0.57585413732538
"763",202711297,201812,-0.223332663126397
"764",202773085,201812,0.346028303891677
"765",202810099,201811,0.875102018852187
"766",202869184,201809,-0.120489320170697
"767",203022563,201812,0.904573606999683
"768",203035695,201812,0.703016181775368
"769",203048639,201809,-0.251417270070454
"770",203079151,201806,0.021869608578951
"771",203167493,201812,0.582731770757813
"772",203178404,201806,1
"773",203195763,201806,0.677176609023589
